Wavelength[nm],Intensity[normalized],Phase[rad]
500.21,0.00290946,-5.30319239
500.68,0.00295322,-5.12768044
501.14,0.00305688,-4.96110833
501.61,0.00328509,-4.80386564
502.08,0.00344161,-4.65566721
502.54,0.00337060,-4.51542778
503.01,0.00317656,-4.38301553
503.48,0.00294735,-4.25867522
503.94,0.00273343,-4.14281846
504.41,0.00263872,-4.03565671
504.87,0.00265251,-3.93653032
505.34,0.00262219,-3.84496021
505.81,0.00244114,-3.76131348
506.27,0.00215999,-3.68580114
506.74,0.00192141,-3.61903403
507.20,0.00179610,-3.56077866
507.67,0.00176450,-3.51166047
508.14,0.00185119,-3.47269520
508.60,0.00197796,-3.44252102
509.07,0.00195827,-3.42003027
509.53,0.00184248,-3.40351449
510.00,0.00178740,-3.39181197
510.47,0.00176872,-3.38548938
510.93,0.00173947,-3.38306086
511.40,0.00173407,-3.38342066
511.86,0.00165783,-3.38528256
512.33,0.00138162,-3.38807260
512.79,0.00107754,-3.39144086
513.26,0.00093328,-3.39462476
513.73,0.00085094,-3.39685999
514.19,0.00081600,-3.39733352
514.66,0.00098592,-3.39567131
515.12,0.00132688,-3.39100385
515.59,0.00163017,-3.38100532
516.05,0.00184189,-3.36666899
516.52,0.00200413,-3.34846814
516.99,0.00207754,-3.32568870
517.45,0.00208908,-3.29810424
517.92,0.00215666,-3.26451928
518.38,0.00230678,-3.22250799
518.85,0.00230045,-3.17621747
519.31,0.00206603,-3.12613491
519.78,0.00196249,-3.07235337
520.24,0.00201931,-3.01595768
520.71,0.00200996,-2.95699357
521.17,0.00206211,-2.89593524
521.64,0.00227807,-2.83403305
522.10,0.00243296,-2.77204097
522.57,0.00239666,-2.71071097
523.03,0.00232588,-2.65123525
523.50,0.00235053,-2.59403503
523.96,0.00246791,-2.53875251
524.43,0.00270817,-2.48714089
524.90,0.00308682,-2.43850782
525.36,0.00355320,-2.39481021
525.83,0.00411513,-2.35992207
526.29,0.00466228,-2.33067344
526.76,0.00489260,-2.30647309
527.22,0.00479900,-2.28504160
527.69,0.00479967,-2.26689000
528.15,0.00519626,-2.25082316
528.61,0.00583939,-2.23831692
529.08,0.00646985,-2.22644059
529.54,0.00700061,-2.21448872
530.01,0.00738847,-2.20173280
530.47,0.00760807,-2.18719947
530.94,0.00777759,-2.16940559
531.40,0.00802868,-2.14811304
531.87,0.00832757,-2.12319885
532.33,0.00870471,-2.09307559
532.80,0.00929189,-2.05728134
533.26,0.01000436,-2.01581362
533.73,0.01060869,-1.96332154
534.19,0.01103007,-1.90299281
534.66,0.01155130,-1.83630215
535.12,0.01239198,-1.76422640
535.59,0.01329690,-1.68669218
536.05,0.01412138,-1.60402070
536.51,0.01502993,-1.51284206
536.98,0.01589379,-1.41788867
537.44,0.01657966,-1.32047220
537.91,0.01721756,-1.22234923
538.37,0.01781044,-1.12354000
538.84,0.01848037,-1.02528606
539.30,0.01941008,-0.92866697
539.77,0.02042485,-0.83451021
540.23,0.02128805,-0.74454518
540.69,0.02202893,-0.65883628
541.16,0.02270431,-0.57858787
541.62,0.02343384,-0.50668816
542.09,0.02451210,-0.44582883
542.55,0.02583508,-0.39223013
543.02,0.02706355,-0.34677936
543.48,0.02822389,-0.30895213
543.94,0.02924520,-0.27874625
544.41,0.02998555,-0.25786270
544.87,0.03079725,-0.24819311
545.34,0.03188167,-0.24590114
545.80,0.03307849,-0.24994129
546.26,0.03439315,-0.26113640
546.73,0.03574357,-0.27795055
547.19,0.03684821,-0.29890603
547.66,0.03746780,-0.32356394
548.12,0.03773075,-0.35114795
548.58,0.03804137,-0.38108597
549.05,0.03858713,-0.41224196
549.51,0.03945685,-0.44401676
549.97,0.04079174,-0.47471723
550.44,0.04245316,-0.50144025
550.90,0.04415883,-0.52669228
551.37,0.04580260,-0.54999975
551.83,0.04723450,-0.57051543
552.29,0.04857157,-0.58788501
552.76,0.05022268,-0.60233694
553.22,0.05199381,-0.60999015
553.68,0.05323267,-0.61524912
554.15,0.05401791,-0.61788394
554.61,0.05528781,-0.61831541
555.07,0.05750841,-0.61647090
555.54,0.06016183,-0.61261022
556.00,0.06224388,-0.60750734
556.47,0.06287622,-0.60104414
556.93,0.06219906,-0.59297143
557.39,0.06169917,-0.58375468
557.86,0.06267927,-0.57406933
558.32,0.06492057,-0.56469717
558.78,0.06749441,-0.55647742
559.25,0.06962913,-0.55017850
559.71,0.07094135,-0.54453661
560.17,0.07192178,-0.53938784
560.64,0.07303314,-0.53516879
561.10,0.07397917,-0.53174051
561.56,0.07496735,-0.52986902
562.02,0.07658926,-0.53124715
562.49,0.07861121,-0.53271250
562.95,0.08031240,-0.53398318
563.41,0.08164805,-0.53484136
563.88,0.08309642,-0.53559498
564.34,0.08430076,-0.53642402
564.80,0.08507863,-0.53795315
565.27,0.08631973,-0.53919570
565.73,0.08787948,-0.54032644
566.19,0.08858333,-0.54114099
566.65,0.08863442,-0.54153149
567.12,0.08949334,-0.54144120
567.58,0.09197301,-0.54014916
568.04,0.09561195,-0.53610592
568.51,0.09946582,-0.53219334
568.97,0.10314986,-0.52741036
569.43,0.10614599,-0.52225738
569.89,0.10779151,-0.51588171
570.36,0.10879067,-0.50931169
570.82,0.11031256,-0.50094529
571.28,0.11249857,-0.49135509
571.75,0.11459956,-0.48126307
572.21,0.11563566,-0.47042490
572.67,0.11547174,-0.45945026
573.13,0.11495741,-0.44857191
573.60,0.11478634,-0.43731396
574.06,0.11473389,-0.42666770
574.52,0.11422209,-0.41562270
574.98,0.11306934,-0.40481459
